index,161a90f9d6058b8d37aec9fcf4bf59298e5cd79cb7b121307fc0d5ba0548e281,20d9e8da3d794c640f71bb758cb506c9caa051f0d4a06886dacd408ffd9100a1,56d62d666a6f9782797c030eed17d20b9e38b8187775bdc1cd4f0a34b1a14114,f0ff08cd724d5365029539e4f7e62fa00b99c5de8bda3d125139c36954cc3283,7706eec74f064315612a875108c5d1bb129a0715b5ab765464b3596802476c2a,f390d13259a0693069563cc36c18d27555a7d734b324b4e54cb92beace8335dd,c03fa7cc3dab8879206fff252de4cc96af0233d6ad321bb1b2010a6c51a60ecb,eec3de0d2f6861832909545a0fbb8ec00b6ed3f9030232890643c6707006e008,41a81decaa1dfc2b6aeeb0f08019067dfcb2064cf5cd3d90515b0efe1f237e10,99aa0434d1dcaea86270aa1702d255ebe47138651dd03a40ffac35eab3b9eabb,08c6a33f175d7cdd0fdd07211101a6ee314239073ef9cad0e813d5a4f8d655ba,e6b9c5b1d3adb106bb03de87f3f351df3f3bd1bc42d87373a5ad4079a3eb2943,a39f19be97e8970d09c27597db5aee4e288f64ad2b321469a41c28c97829ff0d,d0c9225309cd4837a5ff538c1c0ffc94049a753d423c0adfb20d3cf356aaa164,0400b7320e940610288a69c8881b46de4d72de27dd9a10453b37319318834dfb,5794bd7e3a931ed5c00fa0b51cdd1df459893a5a1cb60ad5b91926e05ea19100,dbf030586624dfe33a8af9cf60923f71d2a8f22e9ee453843117d591bde74b65,bbfa3c878ff099de6e1d37ce0e654e267f9536f8dac215173425bea02e7b3b04,c4c74eb0c63b2e65af609d3fbe3b3dc3b816c63ea51b1701a5139a8a09cce93a,2c8087f1813e9a3e54b21696289c4b183fbe685abb0474b104c3862ec7aff114
0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
1,21,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
2,22,21,21,20,21,21,21,21,21,21,21,21,21,21,20,21,21,20,21,21
3,23,22,22,21,22,22,22,22,22,22,22,22,22,22,20,22,22,21,22,22
4,24,22,23,22,23,22,23,23,23,23,23,23,22,23,21,23,23,22,23,23
5,25,23,24,23,24,23,23,24,24,24,23,24,23,24,21,24,24,22,24,23
6,26,24,25,23,25,24,24,24,24,25,24,25,24,25,21,24,25,23,25,24
7,27,25,26,24,26,25,25,25,25,26,25,26,25,26,22,25,26,24,26,25
8,28,26,27,25,27,26,26,26,26,27,26,26,26,27,23,26,27,25,26,26
9,29,27,28,26,28,27,27,27,27,28,27,27,27,28,24,27,28,26,27,27
10,30,28,29,26,28,28,28,28,28,29,28,28,28,29,25,28,29,27,28,28
11,31,29,30,27,29,29,29,29,28,30,29,28,29,30,26,28,29,28,28,28
